,Name,SSN,Age,Job,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome
0,Dott. Rosina Perozzo,LDBTTN88M10D144M,50,Operational researcher,6,148,72,35,0,33.6,0.627,1
1,Graziella Franceschi,CMSGNG18A68A991V,31,"Engineer, technical sales",1,85,66,29,0,26.6,0.351,0
2,Iolanda Zito,FOSTN13R23E566Q,32,Information officer,8,183,64,0,0,23.3,0.672,1
3,Allegra Scaramucci,GRNLRZ69M54E588O,21,"Designer, industrial/product",1,89,66,23,94,28.1,0.167,0
4,Viridiana Canetta-Saraceno,VRGLSN75M19B076I,33,Energy manager,0,137,40,35,168,43.1,2.288,1
5,Beatrice Viviani,DNDPMP16R58I356S,30,"Production assistant, television",5,116,74,0,0,25.6,0.201,0
6,Beatrice Paolini,MGHPRG77R44F187P,26,"Engineer, production",3,78,50,32,88,31.0,0.248,1
7,Flora Scamarcio,PPTPRR34R48C952R,29,Radio producer,10,115,0,0,0,35.3,0.134,0
8,Pina Nibali,CCRVRC22H10B890Y,53,"Psychologist, educational",2,197,70,45,543,30.5,0.158,1
9,Melania Argenti-Gemito,DSCPSL39H51G651C,54,Haematologist,8,125,96,0,0,0.0,0.232,1
10,Olga Alighieri-Rossellini,VSPRND28E62E945Q,30,Orthoptist,4,110,92,0,0,37.6,0.191,0
11,Fabrizia Balbi,CCCGNI38T62H784X,34,Clinical molecular geneticist,10,168,74,0,0,38.0,0.537,1
12,Matilda Andreozzi-Mortati,MGRSLO42H11L842G,57,Museum education officer,10,139,80,0,0,27.1,1.441,0
13,Caterina Giunti,RMZBLS97E54L093P,59,Early years teacher,1,189,60,23,846,30.1,0.398,1
14,Graziella Ammaniti,CDUGFR46D45H990H,51,IT sales professional,5,166,72,19,175,25.8,0.587,1
15,Dina Cabibbo,GNNNNZ15B14E093M,32,Clinical cytogeneticist,7,100,0,0,0,30.0,0.484,1
16,Livia Scaduto,NDRCRN52M55L720G,31,Chartered accountant,0,118,84,47,230,45.8,0.551,1
17,Emma Guariento,NGLRSN76A20B553V,31,Intelligence analyst,7,107,74,0,0,29.6,0.254,1
18,Giuliana Papetti-Foa,PNZRFL97E41E343N,33,"Psychotherapist, child",1,103,30,38,83,43.3,0.183,0
19,Federica Prodi,CNDSTN55C66C957D,32,"Engineer, biomedical",1,115,70,30,96,34.6,0.529,1
20,Bianca Tassoni,SDRFRC39R09H393J,27,Database administrator,3,126,88,41,235,39.3,0.704,0
21,Lara Costalonga,MNTPRN23A52B780X,50,Systems developer,8,99,84,0,0,35.4,0.388,0
22,Lara Peano,SNNMRL95T25C354Y,41,"Administrator, charities/voluntary organisations",7,196,90,0,0,39.8,0.451,1
23,Teresa Filippini-Ciani,MJRRSL04R15G098H,29,Occupational psychologist,9,119,80,35,0,29.0,0.263,1
24,Renata Caccioppoli,RGRLRN91H04H489R,51,"Scientist, audiological",11,143,94,33,146,36.6,0.254,1
25,Diana Mondaini,NTTSNO14H09B462M,41,Chartered accountant,10,125,70,26,115,31.1,0.205,1
26,Lara Spinelli-Barracco,PCLVLT56P03A523A,43,Hospital pharmacist,7,147,76,0,0,39.4,0.257,1
27,Elisa Galiazzo,FRNGNN50C44I943E,22,"Nurse, adult",1,97,66,15,140,23.2,0.487,0
28,Vanessa Filogamo,MSCGCT07P59B378M,57,Clothing/textile technologist,13,145,82,19,110,22.2,0.245,0
29,Luisa Seddio,MLPBLD38C62D550P,38,"Journalist, broadcasting",5,117,92,0,0,34.1,0.337,0
30,Daria Turchi,MMONDD98E03A489R,60,Camera operator,5,109,75,26,0,36.0,0.546,0
31,Sig.ra Veronica Franscini,CMNLGU91P42I959Q,28,Local government officer,3,158,76,36,245,31.6,0.851,1
32,Fabia Scandone,RSTPRC06H18E793Q,22,"Administrator, local government",3,88,58,11,54,24.8,0.267,0
